Age,Years_At_Company,Salary,Projects_Completed,Satisfaction_Score,Performance_Rating,Work_Hours_Per_Week,Promotions,Department,Remote_Work,Attrition
27,13,104309,6,4.624348241925042,2.444298905364149,52,1,HR,0,0
25,15,69984,3,1.0486270859095472,2.6338223256339304,46,1,Operations,1,1
50,17,113822,18,3.6960796762351706,3.718788867333381,64,2,HR,0,0
39,6,45901,0,1.207343196478916,1.2267217286633416,41,2,Operations,0,1
47,9,71552,27,3.1954346603094237,1.1386908169042655,66,1,Operations,1,0
55,6,71055,23,2.150530916174713,2.567642251775636,53,2,IT,0,0
31,0,77685,28,2.227106398088565,3.788654768551922,40,0,Sales,1,1
57,18,113965,2,2.4118340138094263,1.7737413718259303,54,2,Operations,0,0
35,15,54716,12,3.4851697961984405,3.566017925025007,61,2,Operations,1,1
52,18,51138,14,2.336199862675077,2.039312551761198,41,1,IT,0,1
36,3,75298,1,3.9307962023611216,4.544344435254065,39,0,Sales,0,0
29,17,91112,10,2.6181095422954788,4.582759777066466,45,3,Finance,0,0
35,1,63429,3,1.2734128012398345,2.189148817125306,49,3,Finance,1,1
44,0,90200,18,4.135039369936429,1.919975015852962,37,4,Sales,1,0
42,14,111308,28,2.143033298370824,2.645215888264925,39,2,HR,1,1
37,4,88244,16,2.7310675183970505,1.9621263407205949,57,2,IT,1,1
39,19,57347,2,3.741775532887606,3.6895353731668146,43,0,Sales,1,0
45,10,56920,27,2.329824628594848,4.304258738193142,49,3,Finance,0,0
47,9,71822,17,1.2263426245868625,3.692368523644868,37,4,Operations,0,1
46,1,86659,7,2.4956841880512544,4.297401788997398,63,0,Finance,0,1
50,2,80108,21,4.777794330777214,2.5879686488298965,40,2,Operations,0,0
36,11,47967,24,3.5669375891942328,1.6252678828354434,51,3,IT,0,0
22,19,51871,23,3.6859165946688277,3.9518037895903686,60,4,Operations,1,0
46,4,117452,25,3.5291286145505594,2.4418980205662155,55,1,Sales,0,0
28,4,114270,18,1.7959685558377472,3.68508330091653,42,3,Operations,1,0
30,5,73613,4,2.6733354564091205,2.0825757679270627,55,4,HR,0,0
45,8,68179,6,4.0037591934532735,1.3249185392266907,45,0,Sales,1,0
22,1,92188,20,1.4054915902126366,4.9703271819510535,42,1,IT,1,1
29,11,95099,7,2.111411104358849,1.6248060317223971,58,4,Sales,1,1
45,2,75262,27,2.1052764338634145,4.953683975853924,69,4,HR,0,1
32,19,118213,4,2.728075710378024,4.90911973026579,48,2,IT,0,0
38,11,58268,16,4.92147496376874,4.175272415632159,48,3,Finance,0,0
29,16,117866,4,1.2700101867352878,3.6376918483279903,44,2,HR,0,1
56,9,100545,3,3.07480397752238,3.311228201004339,46,1,IT,1,0
56,13,112146,21,1.7174587280488418,4.464406181511339,68,4,Operations,1,0
54,16,111966,18,4.8827061816389765,2.1577580864779518,44,2,Sales,1,0
26,17,79922,26,1.4532140189098568,2.870724849939508,51,3,IT,1,0
49,18,119364,20,2.614404009446365,3.4775598774660077,51,1,Sales,0,0
28,16,82913,1,3.9515399393384247,2.6447619034779644,37,0,Operations,1,0
30,13,95677,10,3.818217712109781,2.709945816361072,65,2,IT,0,1
29,8,89841,21,2.690914547575729,2.3211386700083376,35,1,Finance,1,0
33,7,86332,12,2.386096671810873,3.256927266738144,46,0,HR,1,0
55,1,65032,14,2.5904495142114823,4.402298112060464,38,2,IT,1,0
54,12,77846,11,2.057105052634557,1.8061135120252514,47,1,Operations,0,0
44,6,99474,21,1.8213317548271992,4.737732155013766,68,1,IT,0,1
45,8,84936,20,2.93215879023556,3.7563506149929187,55,2,Sales,1,0
58,10,69794,21,2.0741350242704293,4.293092850720121,56,1,IT,1,0
56,13,101588,10,2.1498466595890005,3.2247627705200466,38,4,Finance,1,1
43,3,110984,6,3.6270242538982282,4.1180668056962535,52,2,IT,0,0
48,12,90331,27,4.874149326799569,1.0648015893578688,39,1,HR,0,0
56,1,68141,4,3.4145488022375003,4.273521699118141,53,0,IT,0,0
22,4,49074,16,1.3079178682598651,1.160555436341466,36,0,Sales,1,1
56,10,46406,23,1.302334455416268,4.55965350545145,46,4,IT,0,0
58,5,63291,19,4.805692883382264,4.967850988954574,51,2,Finance,1,0
35,17,81568,8,2.1891631612293345,2.1762698487071113,44,1,Operations,0,1
24,9,86851,13,1.3682679443299017,1.8412742251431746,68,1,IT,1,1
22,3,94823,25,3.3961783486015262,4.061453455432163,40,0,IT,1,0
26,8,63312,11,3.4945951131610644,2.012105363681013,42,4,HR,0,0
47,5,83108,5,3.5940192804747526,4.462249532688814,45,0,Finance,1,0
35,1,106918,16,2.069608111430165,1.4113703686299068,46,0,Operations,1,1
48,16,74171,18,1.0604427368579001,1.503820785517433,43,4,Sales,1,0
30,4,81779,18,4.860061477817887,4.916606220402462,36,2,IT,0,1
36,5,108828,25,2.00357218276441,3.6953555930800186,42,1,Operations,1,1
36,11,52411,15,3.70410515221019,4.387548897715812,45,2,Sales,0,1
47,9,97009,11,3.8265194795148383,2.297317509406072,44,3,Finance,0,0
34,5,55422,11,3.4400296683179428,3.7059349980824177,55,3,Finance,1,0
53,7,82468,19,2.251629576854593,3.376967309234389,54,3,Operations,0,0
53,1,72371,5,2.084385015056263,3.412600480491788,42,4,Sales,1,0
25,11,97022,22,3.3906731308108125,3.7301298381508863,63,0,Finance,0,0
51,12,111229,25,4.4643825344467665,3.3014366925163943,46,2,Operations,1,0
58,6,91196,3,4.786934915693582,2.716249477210664,48,1,Finance,0,0
44,9,66715,5,1.4236232176150305,2.1036907775221874,55,3,Finance,1,0
36,12,67605,10,1.6193144503908794,4.074325323652808,56,2,Finance,1,0
50,16,71174,0,4.778945035132319,1.9050897200127448,55,3,HR,1,0
57,13,49956,29,3.9461409133391703,3.7694172246176567,64,3,Sales,1,0
34,1,116373,23,4.531975299319092,1.9333312905973066,54,1,Operations,0,0
53,10,109252,22,1.8105305365413726,3.5013206798178156,58,4,Operations,0,0
28,0,101949,14,3.3503434844376074,3.9883130685161157,57,0,Sales,1,1
43,18,102646,26,3.8045583776698946,1.8748555556261568,41,4,Sales,0,0
49,3,110017,10,3.7204475417878906,1.2397732034452331,43,2,Sales,1,0
23,18,103037,24,2.6326067634667925,1.5238949719766963,35,4,Sales,1,0
27,10,46548,18,1.061579566765234,3.423987869084102,60,2,IT,0,1
49,7,113294,17,3.3317042272170525,4.397785624902943,56,2,Operations,0,1
49,10,63177,16,2.012406156718435,1.1799872849416975,44,0,IT,1,1
41,3,64022,18,2.8010169845715613,3.936605036166585,40,1,Finance,0,0
51,16,45542,20,4.830324060335269,2.3652745838002085,51,0,Finance,1,0
32,6,100428,13,2.596141270569739,2.91411347967809,58,4,Operations,0,0
49,7,62740,26,4.359206426657707,4.7154381993822625,44,2,Finance,0,0
46,2,99353,17,1.7541624229970045,2.327886018943382,42,3,Sales,0,1
54,1,96532,27,3.6898419921001153,2.861347735757944,55,3,IT,0,0
22,14,56052,18,4.908027817755774,1.0547296590427244,40,2,Sales,0,0
48,4,87076,14,1.4075724034917472,1.3263948800193535,55,0,Finance,1,1
34,0,93420,14,1.033279768908768,2.034366364539136,58,1,IT,0,0
24,3,40671,3,2.7343311705304574,1.1114089632842976,67,0,Sales,0,0
27,14,40163,6,1.3705019322054688,3.525501304193004,52,2,Operations,1,0
29,19,81424,12,3.9935373987049254,2.70559342720649,62,2,Sales,1,0
48,18,93744,2,4.658194655394236,3.192580810912088,66,1,Finance,1,1
30,2,110331,15,2.7360838908350353,1.6985887435853182,46,4,IT,0,0
58,19,50634,8,2.034846568621764,2.1837281177464645,61,4,Operations,0,1
54,10,44798,7,2.737613276026439,3.6552978994109004,44,1,IT,1,1
45,16,62420,19,3.893791271400004,4.8612108945216,66,4,Operations,1,0
36,12,69300,12,1.036216646321484,1.2016670944088368,60,3,IT,1,1
53,10,50749,16,3.3578159579387887,4.561537283421064,59,4,Finance,1,0
53,1,65121,16,3.4531667395495163,3.307524805244834,45,4,Operations,0,0
45,8,77487,16,3.550752987583742,3.255678267022495,57,4,HR,0,0
33,1,73361,0,1.9680883199235089,3.0011141408310413,68,3,IT,0,1
23,8,61223,7,3.856210893512507,1.2775763436167336,57,4,IT,0,0
24,8,112930,18,1.3655659453271056,1.3595074069446427,63,3,Sales,0,0
58,7,54056,5,1.7970813458672033,3.4036480226363444,65,1,Operations,1,0
38,16,68380,2,4.509880186617927,2.363834285742233,41,0,HR,0,0
23,0,66035,26,3.9548926029062654,4.669072266310723,67,1,Finance,1,0
23,10,70620,4,1.054982216045381,2.626362149437889,55,0,Sales,1,0
49,7,59877,12,1.9935050414792008,1.5731258348105643,36,1,HR,1,1
44,9,95316,14,1.8576259319726582,3.858875334008144,52,0,Operations,0,1
58,6,104041,13,2.0832253121478903,2.1734136857640394,67,0,HR,1,1
53,2,93352,28,1.9902390811195456,3.1018812294235727,68,2,IT,0,1
54,2,70911,22,1.250105182971383,3.79133114202068,54,0,IT,1,0
22,17,72784,15,2.8357620663872813,4.601056444808282,69,0,Sales,0,1
40,4,43191,17,3.9309338991446605,4.168764779206704,52,2,Operations,1,0
23,11,73160,21,3.4269268988697457,3.7054442714908964,58,4,Operations,0,0
47,11,104641,28,3.691486674392319,3.7185327295805743,42,4,HR,1,0
53,18,89723,21,1.3245967141449566,4.783698576128346,64,2,Sales,1,1
27,5,43631,10,4.805962840707149,2.183296389986144,44,3,Operations,1,0
53,1,46172,2,4.353967335372099,1.0044483767847496,57,0,IT,1,1
25,11,82080,21,4.22036127398265,2.0878182375927947,45,0,HR,0,0
32,18,60281,9,4.29193522016707,1.871565518506976,36,2,Finance,0,0
38,4,68671,9,4.730842032531045,3.6473383404559927,60,2,IT,0,0
59,11,91431,29,3.177015864454791,3.534846399062116,67,3,Sales,1,0
45,16,68602,20,1.8011280714705036,3.3738455308188953,47,4,Operations,1,0
26,16,91399,15,3.4671344314101646,1.0649737728378148,59,1,IT,1,0
55,9,63472,11,3.971525974671756,3.91511221780259,38,4,Finance,1,0
27,16,89230,1,3.9516695734161016,2.294121649941966,53,0,Finance,1,1
43,14,113616,8,3.0857960966675204,3.6602239560265244,52,2,Sales,1,0
32,11,47099,23,1.2738348773343122,3.2263137140086133,64,3,IT,0,1
37,15,65431,2,2.4844517537205113,2.3709237017116287,53,4,HR,0,1
54,18,96492,23,4.68306643385343,1.538305068416431,57,3,IT,0,0
30,7,87684,29,3.337795639029704,1.3776755906419238,50,4,Finance,0,0
27,16,70111,24,3.1533277730228537,4.326073332448894,35,0,Sales,0,0
37,4,103936,29,2.075414057528774,4.673590168326232,46,1,Sales,0,1
50,15,62614,14,2.4737956796663156,3.5991521870571983,58,3,HR,0,0
24,5,81991,2,4.581384356612677,1.4137364594419335,68,3,Sales,0,1
41,7,110476,18,3.665852190107343,2.608108867552963,42,1,Sales,1,0
57,17,100920,17,4.149548107009331,3.915756800420629,52,3,Sales,1,0
40,11,103530,7,2.8173816922706205,4.119283536040273,39,3,Sales,1,0
47,14,76224,25,3.5209888778246317,1.4728744891643544,60,4,Sales,1,0
24,8,47788,16,1.9935344349728301,1.0001228753815297,64,4,Finance,1,0
40,12,68082,7,3.821843321133945,3.84854818352242,47,1,IT,1,0
41,14,116816,6,2.710405334813349,2.4263847039448225,53,0,Operations,1,0
53,9,56531,29,2.7701820592589823,2.017925326473041,63,3,Sales,0,0
28,15,84857,6,3.5972892983075266,1.0515898791581018,37,0,Operations,0,0
54,6,50142,2,4.745122485875706,3.1611976270459987,60,1,Operations,1,0
39,16,88355,0,1.2560253864344837,4.404602941703927,46,1,Finance,0,0
22,6,49866,3,4.29897294938803,4.830526585090352,36,4,Sales,0,0
32,13,110067,24,2.1695324416487725,3.262979802453157,45,3,Operations,0,1
49,14,104027,4,2.7756778180255113,3.0578453109595767,62,2,Sales,0,1
46,6,97906,0,1.0876533151000358,1.3402255419569644,52,1,HR,0,0
44,8,68138,14,2.204184311337252,3.195491206170399,47,3,HR,1,1
52,18,69956,4,3.010524970520522,2.5199163158615785,56,0,HR,0,0
51,15,116295,12,1.224704309389756,3.4285411235343077,46,4,Operations,1,0
56,7,45439,7,2.9643829175326606,2.554905391506187,36,0,HR,1,0
28,17,87241,7,4.70844251543371,1.961196493801467,41,1,Finance,1,0
37,17,82533,4,1.4215728724312209,1.379861100913506,60,1,Finance,0,1
47,19,68270,27,4.057762912302017,2.259673778355583,60,0,Operations,1,0
23,6,118815,8,2.6386842135039705,1.3865793371510091,58,1,Sales,1,0
22,2,79279,0,3.620694858097352,1.7075878032959357,46,3,IT,1,0
33,17,63888,3,2.0409463919409174,4.949344634318184,50,1,Sales,1,1
26,9,57630,2,1.6379690501654331,2.7764142276264745,57,4,Sales,0,1
58,6,101063,1,1.6418504570849057,3.127487066020066,43,3,Sales,1,1
53,16,75144,7,1.2819677825725786,4.494474114948861,66,2,Sales,1,0
30,13,92161,22,1.742586819604972,4.982275601962751,49,1,IT,1,1
56,2,117360,8,3.656877539955873,3.330857797378726,47,1,HR,1,1
40,11,90979,1,4.526762447374033,4.249895284176686,39,4,Sales,0,0
37,12,46979,13,4.256502742364647,2.307764097346701,45,4,Finance,1,0
24,1,66189,13,3.7405372394979364,2.2229758297891644,44,0,Operations,1,0
41,2,82600,3,1.4417274536444107,2.610814883978241,47,0,Operations,1,0
45,4,99560,29,2.1567497851837993,3.6900290506945965,49,0,Finance,1,1
54,10,118040,5,2.239227501289876,3.728766757020395,41,4,Sales,1,1
45,7,101558,10,1.999827785590485,2.2609577385978032,62,0,IT,1,1
32,11,46910,2,3.0600226388388925,1.5328396965465148,66,0,HR,0,1
29,6,97713,7,3.1422152595186903,3.5295850258620343,69,2,Operations,1,1
57,14,86857,2,2.427543900684441,1.513303448755058,49,0,HR,0,0
59,16,74964,13,2.415156634945744,3.3139700329173203,55,1,IT,0,1
41,3,65227,27,4.314222391624325,3.773688512225236,40,4,Operations,1,0
56,12,45978,12,4.157171393278743,3.8024459855778066,35,3,HR,0,0
46,17,57153,12,2.2311833267229826,4.013888442638387,38,2,IT,1,0
56,0,99765,1,4.655153775493037,4.491437686262659,45,4,HR,0,0
46,15,79071,12,4.811260068010024,2.9998359678591537,60,4,Sales,1,0
50,12,109519,28,2.3069701681201633,3.9209967581182847,57,1,IT,0,0
39,9,49503,18,2.4176997951722194,3.476690941463347,63,0,HR,0,1
39,11,100703,26,3.0225366136878353,1.7465597591907303,55,1,Sales,1,1
23,1,104379,5,4.764483250134694,1.1027585794776327,61,0,Sales,0,0
56,2,97866,15,4.505277732569246,2.138165542707735,47,0,IT,0,1
37,9,56905,1,1.4102718503343592,2.7721348253504776,57,4,Finance,0,1
57,1,85838,7,2.570922973085665,3.468423777714625,50,0,Operations,0,0
54,12,98279,16,3.2134847589990874,4.3998373220128215,64,2,IT,0,0
25,12,66806,22,3.01252989020616,1.7849828668246626,38,2,Sales,1,0
54,17,85000,1,1.7754522717475707,1.5021991595939084,50,2,Sales,0,0
35,2,62168,9,4.435267084672619,4.85391978989731,65,4,IT,0,0
42,6,110119,27,3.7077631319873494,1.4321782375056284,59,1,Finance,1,0
41,13,78714,15,4.351633499407214,2.9139642804287567,46,3,Operations,1,0
29,19,94093,5,4.435057117397889,3.3422549151732075,60,0,HR,1,0
28,16,95419,27,3.993423414662959,3.165497683629753,67,3,IT,0,0
24,11,89145,1,2.7568424049988693,1.3441286281317728,62,1,Operations,0,0
38,15,117425,1,3.442187020061698,1.2281076560144775,43,1,Operations,0,0
54,11,117811,25,1.6414616244789726,1.4219337098441427,46,4,Sales,0,1
33,14,42461,12,3.6945816698996308,3.34235073549045,39,2,HR,1,0
43,9,54291,23,1.717013022957123,3.1773795505372844,62,2,IT,1,0
43,6,86804,14,3.7757983620406272,1.934963168146977,69,1,Sales,0,0
51,19,116971,27,1.9183926430158746,3.5510965673823662,39,4,Sales,0,0
59,4,104946,1,1.47020520060088,4.2802700082225975,68,4,Finance,0,0
59,0,101332,6,1.6611379605718297,1.166315839386375,68,0,Operations,0,1
29,16,117794,2,1.007968540876281,2.9925197741921696,47,2,IT,1,1
48,2,70841,7,3.874958471414121,3.757241648410761,48,1,IT,1,0
48,12,88758,22,3.9296041962335164,2.0092477082787483,45,3,IT,0,0
55,13,116272,13,3.059733399653038,2.2310836211725964,38,2,Sales,1,0
42,17,77643,23,1.6454512042215348,3.4545516119575352,67,0,Finance,0,0
51,3,90408,29,1.334217350042759,4.591741173774947,41,4,HR,0,0
54,17,83950,22,1.076515865749148,4.239697681211597,42,1,Sales,1,0
49,4,96849,26,1.6629927078608828,3.332520876398334,44,2,HR,0,1
54,15,68044,21,4.563422139932587,3.920886871028997,49,3,Finance,1,0
26,0,55997,28,1.966147366806727,2.4592898808311947,49,0,Operations,0,1
40,13,119751,6,2.4170853088688626,3.563862112395031,39,0,IT,1,1
25,14,63911,20,1.4213819379253327,2.864726364510228,63,2,HR,0,1
56,8,95533,6,1.8894452189926811,1.7597445458302436,53,3,Sales,1,0
38,14,54571,0,3.0768982831208205,3.8069530955090287,44,0,HR,0,1
49,16,97941,16,3.4310107323826102,3.225858549395288,46,1,Operations,0,0
51,3,98005,8,1.9814092566648442,2.4344863278143656,38,0,IT,1,1
50,11,98712,29,1.2309286369004688,4.645356760314523,65,3,HR,0,1
27,4,83541,20,2.5641314765095946,1.083736471306933,52,4,Operations,1,1
56,4,63387,12,1.9368134837053366,2.263092604997984,50,4,Sales,1,1
58,10,88908,20,1.8782156929192078,1.2275255911105862,59,2,Finance,0,0
45,5,53057,18,4.839451210853821,4.066109264886508,57,3,Sales,0,0
50,6,104028,20,3.4652019437028962,3.8084298164551704,46,0,IT,0,0
52,13,95731,18,3.2275137726883836,2.325408874945268,68,0,Sales,0,0
56,10,64858,24,2.6631004140932877,3.702651608828292,37,4,Sales,1,0
54,12,88689,24,2.715777333720577,2.5837489047837994,43,4,Sales,0,0
42,1,84638,21,3.1636200153523233,4.025015165689737,52,1,Sales,0,1
53,6,86486,16,3.785719228144429,2.8167346509468243,69,4,IT,0,0
44,19,60567,22,3.8085843847273178,2.649118911326662,68,1,Operations,1,0
54,3,69739,22,1.6867756308217983,4.738919661953204,48,0,HR,0,0
24,7,97804,29,3.000451008306508,2.003516399562801,38,1,Finance,1,0
39,19,43754,9,2.647832380136408,1.4817893599862617,63,1,HR,0,1
46,18,67044,9,4.482107865077537,3.3381724530378327,49,2,HR,1,0
52,12,107260,3,3.5256756848735056,4.877287249136716,62,4,Finance,0,0
24,13,106912,7,3.130016265663927,2.5113568549087466,50,1,IT,0,0
45,9,48706,21,1.4615785687156695,1.248147054515126,46,0,Finance,1,1
53,10,48894,19,3.422551557293646,2.35722106923827,39,3,IT,0,1
43,1,58037,19,1.4688156227209337,3.0237266172782338,68,1,HR,0,1
44,8,91612,17,2.3488263022630083,1.6476920265288548,35,4,IT,0,1
23,16,69725,13,1.5713678592573275,3.632408872225968,66,2,Operations,1,1
48,2,45926,17,3.7682945880974756,4.990997556040803,60,0,Finance,0,1
23,5,49496,27,1.8250084553446104,2.8069579039257753,51,2,Operations,1,0
47,4,96447,13,2.567437492752104,2.4189142269208506,61,3,HR,1,1
38,4,69806,19,4.582699110475115,2.6028166673378665,58,1,Finance,1,0
54,14,81321,20,1.8172655335958812,1.4605847135808046,69,1,HR,0,0
30,16,105095,23,3.0312202558351165,4.533094405704896,60,4,Operations,1,0
50,8,62656,14,2.677086644664088,2.659302622085408,57,1,HR,1,0
47,2,95147,21,1.072496164182919,2.5490976456993653,56,0,Finance,0,0
56,19,89666,29,4.171032454291251,3.6387610917218973,38,3,Finance,1,1
46,16,78787,3,1.276183625258399,2.768133683724494,43,2,HR,1,0
45,9,102946,12,2.8970200839078144,3.592933875231384,38,3,Finance,0,0
34,2,61727,26,3.2427131797557998,1.24578516052315,41,1,Finance,0,0
28,17,108056,22,3.5137058264583483,4.25489337488891,57,2,HR,1,0
57,17,43081,7,3.7545265172315023,4.76201581151761,36,4,Operations,0,0
41,16,74196,17,2.0130895340908603,3.595061544637544,58,3,Finance,0,1
22,2,76735,11,1.0399151066337975,4.8182637154352435,65,2,Finance,0,1
29,2,119578,22,3.893774649419648,1.6057292574798532,65,2,Finance,1,1
37,5,65498,13,3.1426263973903144,2.9096647579214148,68,2,Finance,1,0
35,12,116865,1,4.344470812828995,3.407226935781789,58,0,HR,0,1
33,14,71656,17,4.285553451602777,3.3269465896847468,60,3,Operations,1,1
44,8,107695,23,4.373304671151533,2.605847116356173,50,2,Operations,0,1
36,3,77900,1,2.9403786399181606,2.3523376374650455,47,3,IT,0,0
49,13,87701,10,2.3345135833474626,1.5072960902016752,49,2,Finance,0,0
55,4,59033,8,4.16623281036548,2.5669698022491128,61,4,Finance,0,0
23,1,50805,11,2.8051764521170197,1.6506432604219405,38,4,IT,0,1
53,10,75851,16,1.733768785613738,3.9374627059688736,50,4,Operations,1,0
44,8,66832,14,4.419896078245897,1.83532374197836,64,1,Sales,1,0
43,2,103437,24,4.530239507089389,1.2342612211381354,64,2,Sales,1,0
46,8,53944,16,2.8652390245606805,3.2094645512689373,37,1,Operations,1,0
43,2,59873,25,1.3027989092391499,3.3809189308776064,56,3,Finance,0,1
43,1,80372,28,2.551304359667725,4.487652245122022,56,1,Sales,0,0
27,11,55379,25,4.214150637850413,3.3079264496707275,46,3,HR,1,1
36,9,76751,17,4.607096114184914,2.381923414893783,55,3,HR,1,0
58,8,45110,21,1.8138909699903834,4.212047526105282,38,3,IT,0,0
54,14,94341,5,1.267894448101086,3.1611155727496842,65,1,Operations,0,0
29,7,52087,16,4.509401812531355,1.317121138524767,65,2,Operations,0,0
26,4,63762,22,2.557619755915501,3.2634022412529866,57,1,Sales,1,0
25,10,49596,23,3.167043857070253,4.632074181686649,54,2,Finance,0,1
27,1,58313,17,4.872263248203035,2.585250501992882,49,2,Operations,0,1
53,14,106549,7,1.2662589116568914,2.1853032075992003,57,3,Sales,1,1
51,5,63705,8,3.5932720298083822,1.5738778280720802,62,1,Sales,1,0
56,7,107364,5,1.2964216902994683,1.6057820877414293,50,2,Operations,1,1
37,4,113445,4,2.5018757138660015,2.7310859373672756,55,4,Sales,0,0
34,15,118645,11,4.2152581807737874,3.382719296646118,49,2,IT,0,0
51,17,42023,24,2.7338889310225376,1.322461620678407,51,4,IT,1,0
40,5,99796,28,4.988729415611802,4.758274356100663,47,1,Operations,0,0
38,4,104429,27,3.2362371397864087,4.020534469780784,53,1,Finance,0,0
40,15,101627,10,2.284648610543814,3.3464956731346507,64,1,IT,0,0
49,12,73848,24,1.8804453036190125,4.313754683755963,52,2,IT,1,0
47,4,77804,0,2.4020821371446472,1.3207470272484532,48,0,Operations,1,0
58,12,55379,10,2.4901330950382032,2.9073555109324976,54,2,HR,0,0
47,16,99664,18,1.274854710895844,3.5203725074466536,53,2,Sales,0,0
44,17,67766,8,2.4782967977070927,4.314611624473157,41,3,IT,0,0
30,7,108099,26,2.8569540789568997,4.13387824019707,38,3,HR,0,0
33,12,76060,1,3.8909510089552186,2.1082769988535985,68,2,Finance,1,0
22,18,109122,11,3.626917938886432,4.763520678236818,36,4,HR,1,1
22,2,56087,3,3.835062620916617,1.4973833657234814,39,3,Operations,0,1
55,7,88868,3,1.0334547275074284,4.500534474484608,44,2,Finance,0,1
53,1,63225,17,1.8706695983221442,4.883760998418474,66,0,Finance,1,1
46,7,46643,14,3.646737153599426,1.7086140928905023,47,4,HR,0,1
22,12,76727,18,2.9359574727189885,3.888264256815141,39,1,Operations,1,0
37,12,51005,12,1.0212539026733838,1.1611420751119939,44,2,IT,0,1
26,0,105697,18,4.21797856972729,2.62169130055662,44,2,HR,1,0
43,5,56029,16,4.09123829316135,3.065133196790696,61,4,IT,0,1
50,18,54226,5,3.1936766519742505,3.3225809036385363,55,3,HR,0,0
24,15,103646,15,1.2658533031050885,4.743748992994238,42,3,IT,1,0
33,7,100603,23,4.066060198130339,3.6890027491767787,35,3,HR,1,0
47,0,68731,11,3.334854350925456,2.925111804876948,62,1,Finance,0,0
37,15,108926,18,4.127839908631836,4.238700145063557,48,4,Sales,0,0
